subflow_fwd_bytes,avg_fwd_segment_size,fwd_packet_length_max,fwd_act_data_packets,fwd_packet_length_mean,fwd_iat_std,fwd_packets_length_total,init_fwd_win_bytes,subflow_fwd_packets,fwd_header_length,record_id,event_time,label
60,30.0,30,1,30.0,0.0,60,-1,2,40,116be7ba-e84e-41d7-8e48-9d93e48ba512,1749057104.0,0
12982,1854.5714,7215,5,1854.5714,32000000.0,12982,229,7,152,a6f6de46-f7c3-4afb-984d-772f231b5705,1749057104.0,0
24,6.0,6,3,6.0,5420315.5,24,256,4,80,98e2c9de-5207-4baf-aa7f-616b5e31d06c,1749057104.0,1
26,8.666667,20,2,8.666667,410.12195,26,8192,3,72,5c903abc-fe06-4be1-b11a-ec7475e33474,1749057104.0,1
56,7.0,20,6,7.0,29600000.0,56,256,8,172,fc04797a-8935-4010-b07a-786207c0ca2d,1749057104.0,1
36,6.0,6,5,6.0,3599772.8,36,256,6,120,b9000b34-f6e8-42e3-b37a-b6f8ee632092,1749057104.0,1
26,8.666667,20,2,8.666667,9427.147,26,8192,3,72,dbecb229-0712-4700-b835-f24461472716,1749057104.0,1
30,6.0,6,4,6.0,4423277.0,30,256,5,100,4259e7ad-9a69-4519-8d13-39a8e4ec7924,1749057104.0,1
412,25.75,328,15,25.75,4168519.8,412,8192,16,332,1efbb957-8611-400b-a53c-eb1a25014047,1749057104.0,0
30,6.0,6,4,6.0,978414.44,30,256,5,100,513aa9dd-4105-4408-905b-0d879fc4a3a2,1749057104.0,1
50,50.0,50,0,50.0,0.0,50,-1,1,40,9a45b48e-4c00-461d-b8c2-6cb220b12019,1749057104.0,0
72,36.0,36,1,36.0,0.0,72,-1,2,64,77cf87bc-8383-4b79-a357-9d6d52ef75f6,1749057104.0,0
24,6.0,6,3,6.0,4724389.5,24,256,4,80,5d4f7495-a9bb-413a-a5a6-1812cc1d3563,1749057104.0,1
46,23.0,23,1,23.0,0.0,46,-1,2,64,de8fd55c-7401-489d-8e61-7b56a0f6052f,1749057104.0,0
80,40.0,40,1,40.0,0.0,80,-1,2,64,85184318-e86a-4ddb-9cfa-ff1f4df24123,1749057104.0,0
26,8.666667,20,2,8.666667,349.31076,26,8192,3,72,3303a727-70d3-4359-8541-9d867e36daad,1749057104.0,1
50,7.142857,20,5,7.142857,2731877.8,50,256,7,152,055d7a28-ad03-4e8e-a5f5-b8b9b5b4a1b7,1749057104.0,1
26,8.666667,20,2,8.666667,265.87216,26,8192,3,72,a1cda202-48a1-4ce7-8386-bbcf71f4ba31,1749057104.0,1
26,8.666667,20,2,8.666667,294.15643,26,8192,3,72,3fd63826-9c16-4514-bdca-bead35f84139,1749057104.0,1
