subflow_fwd_bytes,avg_fwd_segment_size,fwd_packet_length_max,fwd_act_data_packets,fwd_packet_length_mean,fwd_iat_std,fwd_packets_length_total,init_fwd_win_bytes,subflow_fwd_packets,fwd_header_length,record_id,event_time,label
26,8.666667,20,2,8.666667,402.34375,26,8192,3,72,35ee8a3b-d0d9-487f-9bc1-1f0b33555144,1749057104.0,1
26,8.666667,20,2,8.666667,403.05087,26,8192,3,72,60d19455-f86b-4a80-bd37-02950027629c,1749057104.0,1
94,47.0,47,1,47.0,0.0,94,-1,2,64,1cda029d-b65c-4cb5-80f3-681e3416dd04,1749057104.0,0
72,36.0,36,1,36.0,0.0,72,-1,2,40,5823019a-023d-411c-95af-b56b326a84a1,1749057104.0,0
36,6.0,6,5,6.0,609843.44,36,256,6,120,dbb036fb-4a73-4288-8377-69d4fa31fc34,1749057104.0,1
24,6.0,6,3,6.0,2347323.0,24,256,4,80,857b24a1-66d0-447c-ab29-c0379312db78,1749057104.0,1
24,6.0,6,3,6.0,1478298.5,24,256,4,80,ec9c1f0d-6938-465c-92da-92a9bfc75a78,1749057104.0,1
1375,1375.0,1375,0,1375.0,0.0,1375,229,1,20,33db58b0-b8ec-4563-9bdd-4c7b6b0083a8,1749057104.0,0
611,101.833336,517,5,101.833336,2611180.0,611,8192,6,132,82953827-8a0b-4be8-9de6-1af51de0acff,1749057104.0,0
12976,2162.6667,7300,4,2162.6667,32700000.0,12976,229,6,132,a7e208a9-4379-421c-bf5e-42758e621fcc,1749057104.0,0
56,7.0,20,6,7.0,22900000.0,56,256,8,172,9d131a0a-01ab-46ea-ac25-a6120a80c7cf,1749057104.0,1
66,33.0,33,1,33.0,0.0,66,-1,2,64,8cd75625-2a8d-41ea-9e04-4c7ac6f8bf30,1749057104.0,0
26,8.666667,20,2,8.666667,397.394,26,8192,3,72,cabb5a0c-f89c-4a32-9a41-bcd457de25c6,1749057104.0,1
30,6.0,6,4,6.0,4886108.0,30,256,5,100,fe17f28e-6dc2-47be-a932-58c0df7b10b7,1749057104.0,1
66,33.0,33,1,33.0,0.0,66,-1,2,40,ff9d2135-65a6-44ab-925e-634feb3c9828,1749057104.0,0
24,6.0,6,3,6.0,5130593.5,24,256,4,80,92a2a679-f037-4cbf-a31c-ada716ad473c,1749057104.0,1
30,6.0,6,4,6.0,910642.8,30,256,5,100,00a66099-73d4-4c22-b36f-27244e61cea5,1749057104.0,1
64,32.0,32,1,32.0,0.0,64,-1,2,40,e31ce5de-71be-4e97-95c3-b5e1beadbdd4,1749057104.0,0
30,6.0,6,4,6.0,4724630.0,30,256,5,100,08a3d8ff-82d3-4568-a478-5d6ac7e34f7d,1749057104.0,1
30,6.0,6,4,6.0,2176962.0,30,256,5,100,f1860374-647e-4800-bb15-253def978e81,1749057104.0,1
76,38.0,38,1,38.0,0.0,76,-1,2,40,779f4e3a-1fa5-40ac-b248-279dc566aa6d,1749057104.0,0
30,6.0,6,4,6.0,1243592.4,30,256,5,100,672b964e-4b1b-4f4f-8597-f04d117b0b19,1749057104.0,1
418,27.866667,340,14,27.866667,4252392.5,418,8192,15,312,b61f9052-a5f6-4468-b3d9-e66aa8ea1a5c,1749057104.0,0
0,0.0,0,0,0.0,3551832.0,0,29200,3,104,3ac87a2e-8769-4293-84b7-c4b6a6c33948,1749057104.0,0
56,7.0,20,6,7.0,29100000.0,56,256,8,172,6c341b4f-77be-48e9-914f-31a5d84ade34,1749057104.0,1
26,8.666667,20,2,8.666667,1973.535,26,8192,3,72,f0388a9e-6007-4d33-9804-8730d1839ca7,1749057104.0,1
156,39.0,39,3,39.0,17871.59,156,-1,4,80,3be75b57-ef6c-402c-b537-db31ad82e475,1749057104.0,0
11613,1935.5,5840,4,1935.5,36200000.0,11613,229,6,132,6a968900-ead9-4d8d-b897-4b5162c7d73e,1749057104.0,0
6,6.0,6,0,6.0,0.0,6,229,1,20,57674433-a971-40a9-8811-096d135f00fc,1749057104.0,0
24,6.0,6,3,6.0,2207446.8,24,256,4,80,b6db5e73-fce5-48cf-bda9-78e7072f5052,1749057104.0,1
26,8.666667,20,2,8.666667,6353.3545,26,8192,3,72,84645ac9-0209-4018-b4d5-705a2e0e220c,1749057104.0,1
30,6.0,6,4,6.0,4928209.0,30,256,5,100,76df3e2e-7e4d-45fc-ae66-9642e9b6d414,1749057104.0,1
72,36.0,36,1,36.0,0.0,72,-1,2,64,f523b96e-8424-4233-b798-0e214f94b2dd,1749057104.0,0
56,7.0,20,6,7.0,29400000.0,56,256,8,172,eb671525-49f6-40c2-a781-be8c3acb108c,1749057104.0,1
49,49.0,49,0,49.0,0.0,49,-1,1,32,7de06943-bfc7-4ab0-a88d-6f275bcf2e1b,1749057104.0,0
26,8.666667,20,2,8.666667,9828.784,26,8192,3,72,20d595c4-6578-41e3-a56b-007cbebcac69,1749057104.0,1
26,8.666667,20,2,8.666667,2870.1465,26,8192,3,72,e297f389-68fc-48c5-aa04-54be10e48b48,1749057104.0,1
